task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_precision,validation_recall,validation_f1,validation_accuracy,experiment_elapsed_time
token-classification,pos,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-pos,5e-05,64,0.0,1.0,kldiv,15,0.07459118217229843,0.977215392624034,0.9763552710542108,0.9767851424911944,0.9793186189560282,514.7802839279175
token-classification,pos,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-pos,5e-05,32,0.0,1.0,kldiv,13,0.07408419659791085,0.9758530393587462,0.9765753150630127,0.9762140436125859,0.9789377463769496,456.8899722099304
token-classification,pos,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-pos,5e-05,16,0.0,1.0,kldiv,14,0.07281907996198592,0.9783552381523936,0.9783356671334267,0.9783454525450345,0.9804041058064025,487.46856451034546
token-classification,pos,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-pos,0.0001,64,0.0,1.0,kldiv,13,0.07283811285518683,0.9773513935295413,0.9771754350870174,0.9772634063878525,0.9796042733903373,419.5471098423004
token-classification,pos,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-pos,0.0001,32,0.0,1.0,kldiv,13,0.07218433834182528,0.9774669308198756,0.9770954190838168,0.9772811396444614,0.9798708841956923,473.43679213523865
token-classification,pos,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-pos,0.0001,16,0.0,1.0,kldiv,13,0.07617245024392524,0.9771256885327992,0.9758551710342068,0.9764900165140369,0.9787473100874102,467.87436842918396
token-classification,ner,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-ner,5e-05,64,0.0,1.0,kldiv,20,0.1291450284421444,0.7512701568367572,0.7827387802071346,0.7666816952209198,0.9636092101780785,714.6224036216736
token-classification,ner,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-ner,5e-05,32,0.0,1.0,kldiv,14,0.12132060189420978,0.7597374179431072,0.7990794016110472,0.7789119461581604,0.9640818178381035,552.4940023422241
token-classification,ner,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-ner,5e-05,16,0.0,1.0,kldiv,14,0.1269967217464,0.7624945675793133,0.8075949367088607,0.7843970045825416,0.9647056599493364,499.58943605422974
token-classification,ner,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-ner,0.0001,64,0.0,1.0,kldiv,14,0.12277283171812693,0.7463456577815993,0.7990794016110472,0.7718128264977213,0.9632689326628606,514.0358996391296
token-classification,ner,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-ner,0.0001,32,0.0,1.0,kldiv,14,0.12154301631574829,0.768287341217696,0.8073647871116225,0.7873414880484795,0.9655374494309804,547.8951156139374
token-classification,ner,josecannete/albert-base-spanish-4,CenIA/roberta-base-bne-finetuned-ner,0.0001,16,0.0,1.0,kldiv,14,0.13119595375222465,0.7633471344519503,0.8062140391254315,0.7841952093127379,0.9628152293092367,554.1558132171631
