task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy,experiment_elapsed_time
sequence-classification,mldoc,josecannete/albert-base-spanish-8,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,64,0.0,1.0,kldiv,22,0.14085620595142245,0.967,3328.7992470264435
sequence-classification,mldoc,josecannete/albert-base-spanish-8,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,32,0.0,1.0,kldiv,19,0.13486410689074546,0.967,2821.6699476242065
sequence-classification,mldoc,josecannete/albert-base-spanish-8,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,16,0.0,1.0,kldiv,28,0.12235075653722835,0.972,3746.7595105171204
sequence-classification,mldoc,josecannete/albert-base-spanish-8,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,64,0.0,1.0,kldiv,43,0.13800560496747494,0.964,6083.647324562073
sequence-classification,mldoc,josecannete/albert-base-spanish-8,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,32,0.0,1.0,kldiv,18,0.15005030535394326,0.97,2681.7768063545227
sequence-classification,mldoc,josecannete/albert-base-spanish-8,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,16,0.0,1.0,kldiv,16,0.14802539032248277,0.967,2300.776001930237
sequence-classification,pawsx,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,64,0.0,1.0,kldiv,42,0.2741777212359011,0.8935,6105.634925603867
sequence-classification,pawsx,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,32,0.0,1.0,kldiv,20,0.26901421790558194,0.8995,2740.5405144691467
sequence-classification,pawsx,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,16,0.0,1.0,kldiv,42,0.26889565405249594,0.9,5555.961542367935
sequence-classification,pawsx,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,64,0.0,1.0,kldiv,36,0.2727084755897522,0.899,5257.263231992722
sequence-classification,pawsx,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,32,0.0,1.0,kldiv,27,0.2802231037427509,0.889,3646.474995136261
sequence-classification,pawsx,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,16,0.0,1.0,kldiv,12,0.6814042558670044,0.5765,1690.0264554023743
sequence-classification,xnli,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,64,0.0,1.0,kldiv,23,0.4728119495587471,0.8120481927710843,27829.311791419983
sequence-classification,xnli,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,32,0.0,1.0,kldiv,40,0.4574602884359849,0.8160642570281125,41233.7199280262
sequence-classification,xnli,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,16,0.0,1.0,kldiv,29,0.4631224651940358,0.8184738955823293,28203.565878391266
sequence-classification,xnli,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,64,0.0,1.0,kldiv,26,0.47326599787443113,0.8156626506024096,31431.85426592827
sequence-classification,xnli,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,32,0.0,1.0,kldiv,43,0.48578784824945986,0.8076305220883534,44277.42172241211
sequence-classification,xnli,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,16,0.0,1.0,kldiv,15,0.6975955304044944,0.6991967871485943,14780.557965278625
