task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy,experiment_elapsed_time
sequence-classification,mldoc,josecannete/albert-base-spanish-4,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,64,0.0,1.0,kldiv,26,0.1456041275523603,0.964,2018.5236101150513
sequence-classification,mldoc,josecannete/albert-base-spanish-4,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,32,0.0,1.0,kldiv,50,0.13460124732227996,0.965,3583.5087926387787
sequence-classification,mldoc,josecannete/albert-base-spanish-4,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,16,0.0,1.0,kldiv,20,0.13438953726833303,0.963,1487.187091588974
sequence-classification,mldoc,josecannete/albert-base-spanish-4,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,64,0.0,1.0,kldiv,28,0.13792262552306056,0.966,2149.730972290039
sequence-classification,mldoc,josecannete/albert-base-spanish-4,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,32,0.0,1.0,kldiv,24,0.14325066149467602,0.967,1820.3480587005615
sequence-classification,mldoc,josecannete/albert-base-spanish-4,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,16,0.0,1.0,kldiv,16,0.15137822698387834,0.965,1228.81862616539
sequence-classification,pawsx,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,64,0.0,1.0,kldiv,30,0.3693322101607919,0.8465,2624.168813228607
sequence-classification,pawsx,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,32,0.0,1.0,kldiv,19,0.3677162751555443,0.8535,1470.202452659607
sequence-classification,pawsx,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,16,0.0,1.0,kldiv,22,0.3491534525156021,0.8575,1680.1551675796509
sequence-classification,pawsx,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,64,0.0,1.0,kldiv,29,0.36800355231389403,0.8495,2540.3716700077057
sequence-classification,pawsx,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,32,0.0,1.0,kldiv,18,0.37354151124045964,0.837,1396.5901989936829
sequence-classification,pawsx,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,16,0.0,1.0,kldiv,28,0.39589765697717666,0.818,2117.2897708415985
sequence-classification,xnli,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,64,0.0,1.0,kldiv,34,0.5073740612237881,0.7927710843373494,24274.91264653206
sequence-classification,xnli,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,32,0.0,1.0,kldiv,36,0.5201460730571014,0.7859437751004016,20991.46022105217
sequence-classification,xnli,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,16,0.0,1.0,kldiv,36,0.5156727105570145,0.7927710843373494,20981.34074640274
sequence-classification,xnli,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,64,0.0,1.0,kldiv,31,0.5139200672125205,0.7923694779116466,22203.059490680695
sequence-classification,xnli,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,32,0.0,1.0,kldiv,35,0.5226402313281329,0.7867469879518072,20400.599163770676
sequence-classification,xnli,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,16,0.0,1.0,kldiv,29,0.5423721787639153,0.7815261044176707,16979.73508644104
