task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy,experiment_elapsed_time
sequence-classification,mldoc,josecannete/albert-base-spanish-10,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,64,0.0,1.0,kldiv,21,0.1291827317327261,0.972,3926.598199367523
sequence-classification,mldoc,josecannete/albert-base-spanish-10,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,32,0.0,1.0,kldiv,19,0.12560173677047715,0.97,3475.752335548401
sequence-classification,mldoc,josecannete/albert-base-spanish-10,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,16,0.0,1.0,kldiv,29,0.12171957343225441,0.971,4765.886642456055
sequence-classification,mldoc,josecannete/albert-base-spanish-10,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,64,0.0,1.0,kldiv,28,0.1205099446233362,0.972,5069.975821733475
sequence-classification,mldoc,josecannete/albert-base-spanish-10,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,32,0.0,1.0,kldiv,33,0.1340947876451537,0.969,5682.940639019012
sequence-classification,mldoc,josecannete/albert-base-spanish-10,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,16,0.0,1.0,kldiv,36,0.12667018756093013,0.97,5802.930107831955
sequence-classification,pawsx,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,64,0.0,1.0,kldiv,24,0.2692791195586324,0.899,4264.018400430679
sequence-classification,pawsx,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,32,0.0,1.0,kldiv,26,0.26179868840272463,0.9045,4293.742365121841
sequence-classification,pawsx,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,16,0.0,1.0,kldiv,23,0.2588450013399124,0.903,3812.157538175583
sequence-classification,pawsx,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,64,0.0,1.0,kldiv,29,0.25373936258256435,0.904,5123.952319145203
sequence-classification,pawsx,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,32,0.0,1.0,kldiv,28,0.26160921605806503,0.9065,4603.475464582443
sequence-classification,pawsx,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,16,0.0,1.0,kldiv,13,0.6814211521148682,0.5765,2231.7825219631195
sequence-classification,xnli,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,64,0.0,1.0,kldiv,32,0.45743676179494613,0.8172690763052208,46572.59294605255
sequence-classification,xnli,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,32,0.0,1.0,kldiv,43,0.4550240525068381,0.8160642570281125,54211.07295131683
sequence-classification,xnli,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,16,0.0,1.0,kldiv,27,0.4689327598764346,0.814859437751004,32281.469037771225
sequence-classification,xnli,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,64,0.0,1.0,kldiv,42,0.4572023764634744,0.8164658634538152,61219.22098302841
sequence-classification,xnli,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,32,0.0,1.0,kldiv,48,0.4773800818201823,0.8028112449799196,60119.80013298988
sequence-classification,xnli,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,16,0.0,1.0,kldiv,16,1.0761870069381518,0.42329317269076305,19238.38125538826
