teacher_model_name_or_path,learning_rate,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,21,0.25839320942759514,0.909
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,33,0.2795452030841261,0.892
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,27,0.2608399782329798,0.9025
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,28,0.2576574219856411,0.906
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,32,0.6815466545522213,0.5765
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,21,0.2770044954959303,0.8975
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,mse,17,0.2990268860012293,0.8995
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,mse,26,0.2973518904764205,0.8985
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,ce,27,0.2832967678550631,0.899
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,ce,23,0.28722910955548286,0.899
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,28,0.2805194347165525,0.902
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,21,0.3032587761990726,0.8845
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,mse,12,0.8016020953655243,0.5765
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,mse,35,0.25324958097189665,0.9075
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,ce,36,0.24605237017385662,0.902
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,ce,45,0.26186347706243396,0.9045
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,kldiv,43,0.2467973653692752,0.906
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,kldiv,26,0.25894985627382994,0.897
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,30,0.3671212247572839,0.856
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,26,0.2864976357668638,0.89
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,16,0.6812074668705463,0.5765
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,28,0.27083817031234503,0.894
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,32,0.2607131376862526,0.907
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,24,0.2646506209857762,0.9005
