teacher_model_name_or_path,learning_rate,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,47,0.370037613902241,0.8565
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,46,0.3934343415312469,0.8445
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,32,0.3911363920196891,0.8435
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,23,0.3830984919331968,0.839
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,18,0.404173921328038,0.8265
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,34,0.38672425458207726,0.8535
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,mse,30,0.47882912680506706,0.836
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,mse,27,0.4481082051061094,0.8405
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,ce,12,0.40091401478275657,0.8185
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,ce,12,0.42158717196434736,0.81
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,12,0.4363660244271159,0.805
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,12,0.435458779335022,0.795
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,mse,26,0.37759331380948424,0.852
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,mse,32,0.36674079578369856,0.854
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,ce,17,0.3853822131641209,0.8295
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,ce,20,0.39144218619912863,0.838
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,kldiv,26,0.3812709888443351,0.847
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,kldiv,27,0.3749306621029973,0.846
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,44,0.35294194985181093,0.863
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,23,0.38511727657169104,0.8415
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,16,0.37751278979703784,0.836
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,23,0.36732205795124173,0.8515
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,16,0.3616696884855628,0.8465
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,21,0.37504542293027043,0.836
