teacher_model_name_or_path,learning_rate,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,20,0.5388166164048016,0.7965
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,13,0.6303264917805791,0.7545
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,13,0.5237568896263838,0.744
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,13,0.5185809973627329,0.7555
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,13,0.517180198803544,0.7475
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,13,0.528265287168324,0.761
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,mse,13,0.7247038157656789,0.759
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,mse,12,0.6548244515433908,0.736
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,ce,13,0.5543206613510847,0.7275
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,ce,13,0.5728297205641866,0.7415
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,13,0.5524611547589302,0.7455
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,13,0.531708512455225,0.7605
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,mse,21,0.5126562952063978,0.804
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,mse,31,0.5224258918315172,0.793
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,ce,32,0.5254642609506845,0.7835
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,ce,13,0.5344732068479061,0.7585
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,kldiv,20,0.5285631492733955,0.7695
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,kldiv,16,0.5205896142870188,0.776
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,24,0.515085562132299,0.7955
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,13,0.6028149290941656,0.757
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,19,0.5148498984053731,0.7815
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,13,0.5322551811113954,0.7555
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,13,0.5072259996086359,0.751
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,13,0.498883293941617,0.761
